title,x,y
Andato al comando,1946,10436
Angoscia in caserma,1945,2766
Campo di mine,1946,9686
Chi ha messo la mina nel mare?,1948,3335
Di padre in figlio,1946,5320
Dollari e vecchie mondane,1948,17300
Furto in una pasticceria,1947,8595
I figli poltroni,1948,8965
I fratelli Bagnasco,1946,6106
Il bosco degli animali,1948,11058
Il coniglio velenoso,1954,1233
Il gatto e il poliziotto,1948,11130
Il giardino incantato,1948,8051
Il gorilla albino,1980,596
Il seno nudo,1977,5123
Impiccagione di un giudice,1948,2994
L'occhio del padrone,1947,2907
La fame a Bévera,1947,2946
La spada del sole,1983,245
Lettura di un'onda,1975,111
Luna di pomeriggio,1983,99
Paura sul sentiero,1946,12413
Si dorme come cani,1948,508
Ultimo viene il corvo,1947,4086
Un bastimento carico di granchi,1947,1855
Un viaggio con le mucche,1956,4029
Uomo nei gerbidi,1946,1169
Alba sui rami nudi,1947,0
Dal terrazzo,1983,0
Gli amori delle tartarughe,1983,0
Il fischio del merlo,1975,0
Il marmo e il sangue,1983,0
Il museo dei formaggi,1983,0
Il prato infinito,1983,0
L'aiola di sabbia,1977,0
L'avventura di un fotografo,1955,0
L'invasione degli storni,1981,0
L'occhio e i pianeti,1982,0
L'ordine degli squamati,1983,0
L'universo come specchio,1983,0
La contemplazione delle stelle,1983,0
La corsa delle giraffe,1975,0
La gallina di reparto,1958,0
La notte dei numeri,1958,0
La pancia del geco,1982,0
La pantofola spaiata,1975,0
Luna e Gnac,1957,0
Pranzo con un pastore,1948,0
Serpenti e teschi,1976,0
Un chilo e mezzo di grasso d'oca,1976,0
Visti alla mensa,1947,0
